,tags_urgents,tags_featured,jobs_title,companies_name,companies_link,companies_calcifications,companies_locations_after,short_descriptions,how_longs
1637,...,...,auxiliar de cocina con experiencia en caja y servicio al cliente 1 año,tiempos sas,https://co.computrabajo.com/tiempos,"4,3","antioquia, medellín",importante empresa del sector require para su equipo de trabajo cajera con experiencia minima 1 año desempeñando...,hace 3 días
1638,...,...,asesor supernumerario servicio al cliente bogota w 4303,outsourcing servicios informaticos s a outsourcing s a,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-outsourcing-contact-center-E8B4C78F158F6B62,"4,3","bogotá, d.c., bogotá, d.c.","somos el primer contact center y bpo de colombia, con más de 28 años ofreciendo soluciones integrales a empresas del...",hace 3 días
1640,...,...,asesor/a servicio al cliente,konecta,https://co.computrabajo.com/konecta,"4,2","antioquia, medellín","¡tú tienes el talento k!, te queremos a ti! siente el feeling de pertenecer a una compañía con propósito que busca...",hace 3 días
1641,...,...,servicio al cliente,...,...,...,"atlántico, barranquilla","importante multinacional se encuentra en búsqueda de asesores de servicios al cliente, con experiencia certificada de...",hace 3 días
1642,...,...,servicio de atención al cliente,ventas y servicios s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-ventas-y-servicios-sa-943BBEC384C1FB89,"4,1","bogotá, d.c., bogotá, d.c.",se requiere asesor servicio al cliente con experiencia mínima de 3 meses en servicio al cliente por medio de call...,hace 3 días
1644,se precisa urgente,empleo destacado,asesor (a) de servicio al cliente,...,...,...,"bogotá, d.c., bogotá, d.c.","importante empresa lider del sector bpo, especialistas en gestión y administración de portafolios se encuentra en...",hace 3 días
1646,se precisa urgente,empleo destacado,asesor/a servicio al cliente lunes a sábado contrato fijo capacitaciones pagas proceso virtual,konecta,https://co.computrabajo.com/konecta,"4,2","antioquia, medellín","¡tú tienes el talento k!, te queremos a ti! siente el feeling de pertenecer a una compañía con propósito que busca...",hace 3 días
1647,...,...,asesor/a servicio al cliente chat,konecta,https://co.computrabajo.com/konecta,"4,2","antioquia, medellín","¡trabajo 100% presencial! si has llegado al nivel de escuchar la cantaleta de tu mamá o papá sin responder, esta es...",hace 3 días
1649,se precisa urgente,...,asesor servicio al cliente / oportunidad de crecimiento,a & j system network sas,https://co.computrabajo.com/aj-system-network-sas,...,"bogotá, d.c., bogotá, d.c.",buscamos asesor de servicio al cliente para reconocida compañía con 6 meses de experiencia en el campo. su función es...,hace 3 días
1650,...,...,agent call center,accedo colombia s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-accedo-colombia-sas-6577D50A12A00028,"4,1","santander, bucaramanga",we require intermediate english. if you speak fluent english and want to join our amazing team. apply now!...,hace 3 días
1652,...,empleo destacado,servicio al cliente linea exclusiva,...,...,...,"bogotá, d.c., bogotá, d.c.","importante multinacional de origen español, se encuentra en búsqueda de asesores call center, con experiencia mínimo...",hace 3 días
1653,se precisa urgente,empleo destacado,asesor/a servicio al cliente call center chat ¡rápido proceso!,konecta,https://co.computrabajo.com/konecta,"4,2","bogotá, d.c., bogotá, d.c.","siente la buena onda de ser talento k!nos llena de orgullo servir y tener la capacidad de escuchar, entender, generar...",hace 3 días
1654,se precisa urgente,empleo destacado,asesor comercial / servicio al cliente,a & j system network sas,https://co.computrabajo.com/aj-system-network-sas,...,"antioquia, medellín","estamos en la búsqueda de asesores comerciales, call center para importante empresa nacional, con excelentes...",hace 3 días
1655,...,...,asesor de servicio al cliente lunes a sabado,ventas y servicios s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-ventas-y-servicios-sa-943BBEC384C1FB89,"4,1","bogotá, d.c., bogotá, d.c.",si cuentas con experiencia en servicio al cliente de 3meses aplica ya ! oferta laboral tipo de contrato: termino...,hace 3 días
1656,...,...,asesora de servicio al cliente con para importante casino funza mosquera,productividad empresarial sas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-productividad-empresarial-sas-159A8948D2C691D1,"4,2","cundinamarca, funza","royal gameshace parte de una multinacional, tiene cobertura a nivel nacional, se dedicada a generar experiencias de...",hace 3 días
1657,...,empleo destacado,asesor servicio al cliente / inglés b2 / 2’200.000 / bogotá on site bogbbbm,teleperformance colombia,https://co.computrabajo.com/teleperformance,"4,3","bogotá, d.c., bogotá, d.c.","aplica ya!! , tenemos grandes beneficios salariales y grandes experiencias para ofrecerte, trabajando desde el site...",hace 3 días
1658,...,...,consultor de servicio al cliente,teleperformance colombia,https://co.computrabajo.com/teleperformance,"4,3","antioquia, medellín","participa y crece junto a tp, durante más de 40 años hemos estado aprendiendo de todas las interacciones, atendiendo a...",hace 3 días
1660,...,empleo destacado,asesor call center servicio al cliente por chat,webhelp colombia,https://co.computrabajo.com/webhelpcolombia,"4,3","bogotá, d.c., bogotá, d.c.",en webhelp estamos buscando personas con toda la actitud para convertirse en los mejores agentes de call center para...,hace 3 días
1661,...,empleo destacado,asesor servicio al cliente en call center para entidad premium,comdata group,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-comdata-group-66BD34796378DC5A,"4,1","bogotá, d.c., bogotá, d.c.","importante multinacional de origen español, se encuentra en búsqueda de asesores call center en servicio al cliente...",hace 3 días
1663,se precisa urgente,empleo destacado,agente semibilingue,sitel colombia,https://co.computrabajo.com/sitelcolombia,"4,3","atlántico, barranquilla",grupo sitel busca agentes telefonicos semibilingues de servicio al cliente con: - nivel de ingles b1/b1+ - mayor de 18...,hace 3 días
1664,...,...,agente de servicio al cliente call center,contento bps s.a,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-contento-bps-sa-CEF22ED028C3CE9D,"4,4","antioquia, medellín",trabaja en la empresa que transformó los call center contento bps *** ¡en contento llevamos 1 década cumpliendo...,hace 3 días
1665,...,...,asesor servicio al cliente,a & j system network sas,https://co.computrabajo.com/aj-system-network-sas,...,"antioquia, medellín","buscamos agente de ventas y servicio al cliente con 6 meses de experiencia en venta fidelización y/o cobranzas, para...",hace 3 días
1666,...,...,analista servicio al cliente,casa y confort sas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-casa-y-confort-sas-6EC584EE28167FC3,...,"bogotá, d.c., bogotá, d.c.",importante empresa del sector colchones y fabricación de muebles busca para su equipo de trabajo analista de servicio...,hace 3 días
1667,...,...,profesional en administración,...,...,...,"antioquia, medellín","compañía líder (aliado) en dispositivos y software médicos de origen alemán, requiere para su equipo de trabajo en...",hace 3 días
1668,se precisa urgente,empleo destacado,servicio al cliente /agentes call center /horarios de lunes a sábados,grupo gss,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de--avanza-colombia-sas-43A2A041D1D2C4B8,"3,9","bogotá, d.c., bogotá, d.c.",¿buscas horarios de lunes a sábados? ¿tienes experiencia en servicio al cliente call center? esta es tu gran...,hace 3 días
1670,...,...,asesor de servicio al cliente,ventas y servicios s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-ventas-y-servicios-sa-943BBEC384C1FB89,"4,1","bogotá, d.c., bogotá, d.c.",en esta oportunidad brindamos la oportunidad para que crezca laboralmente como asesor de servicio al cliente en una de...,hace 3 días
1671,...,...,promotora de servicio al cliente con para importante casino funza mosquera,productividad empresarial sas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-productividad-empresarial-sas-159A8948D2C691D1,"4,2","cundinamarca, mosquera","royal gameshace parte de una multinacional, tiene cobertura a nivel nacional, se dedicada a generar experiencias de...",hace 3 días
1672,...,...,"representante servicio al cliente, bachilleres con 6 meses de experiencia en areas comerciales (trabajo presencial)",teleperformance colombia,https://co.computrabajo.com/teleperformance,"4,3","antioquia, medellín","aplica a nuestra línea de servicio al cliente, buscamos nuevos talentos que deseen ser parte de la mejor linea de...",hace 3 días
1673,...,...,aux. administrativa empresas de producción,proyección laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-proyeccion-laboral-0AC901B3CFF20E71,"4,2","bogotá, d.c., bogotá, d.c.","importanteempresa de plásticos tecnólogo en área administrativacon experiencia de2 años en cargos similares,...",hace 3 días
