,tags_urgents,tags_featured,jobs_title,companies_name,companies_link,companies_calcifications,companies_locations_after,short_descriptions,how_longs
3500,...,...,guarda de seguridad bodega,...,...,...,"valle del cauca, cali",importante empresa del sector requiere para su equipo bachiller con experiencia como guarda de seguridad en sector...,ayer
3501,...,...,mensajeros,gi group colombia,https://co.computrabajo.com/gigroupcolombia,...,"norte de santander, cúcuta",reconocida empresa de logística especializada requiere mensajeros en cucuta con mínimo 1 año de experiencia entregando...,ayer
3502,se precisa urgente,empleo destacado,auxiliar de bodega,dar ayuda temporal,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-dar-ayuda-temporal-2E134E3F93C933CB,"4,3","risaralda, pereira","importante empresa de cereales, vitaminas, elementos químicos y fabricación de productos alimenticios para su...",ayer
3503,...,...,capitan de meseros,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","bogotá, d.c., bogotá, d.c.","importante y reconocido restaurante de comida asiatica requiere capitan de meseros, bachiller tecnico o tecnologo con...",ayer
3504,...,...,impulsadora,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","bogotá, d.c., bogotá, d.c.","importante y reconocida empresa del sector industria de galletas, requiere impulsadora. bachiller con minimo1 año de...",ayer
3505,...,...,mesero para restaurante,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","bogotá, d.c., bogotá, d.c.","importante restaurante de comida oriental requiere meseros, experiencia en todo lo relacionado en servicio a la...",ayer
3506,...,...,supervisor de operaciones / sector madera tecnólogo industrial o afines,mision empresarial s.a,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mision-empresarial-sa-BFC82CBE99C9A6C7,"4,1","bogotá, d.c., bogotá, d.c.",estamos buscando un talento como el tuyo: importante empresa del sector madera requiere para su equipo de trabajo...,ayer
3507,...,...,20 cupos almacenistas o aux de bodega con exp en inventarios,nexarte servicios temporales s.a,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-nexarte-servicios-temporales-sa-584B486BED116B1E,"4,2","bogotá, d.c., bogotá, d.c.","almacenistas !! importante empresa solicita para su equipo de trabajo almacenistas, bachilleres técnicos o tecnólogos,...",ayer
3508,...,empleo destacado,auxiliar administrativo,summar temporales sas,https://co.computrabajo.com/summar,"4,2","valle del cauca, guadalajara de buga",formación académica: técnico en carreras administrativas o logística. funciones: manejar el proceso de dotación de...,ayer
3509,se precisa urgente,empleo destacado,auxiliares de bodega con experiencia,soluciones inmediatas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-soluciones-inmediatas--80278A6F3F0B3BB3,"4,2","cundinamarca, facatativá","importante compañía logistica kuehne nagel kn, se encuentra en búsqueda de personal masculino y femenino (bachiller),...",ayer
