,tags_urgents,tags_featured,jobs_title,companies_name,companies_link,companies_calcifications,companies_locations_after,short_descriptions,how_longs
3571,se precisa urgente,empleo destacado,montacarguistas para tocancipa licencia c1,soluciones inmediatas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-soluciones-inmediatas--80278A6F3F0B3BB3,"4,2","cundinamarca, tocancipá","importantemultinacional logística se encuentra en búsquedade montacarguistascon curso de alturas, pase c1 o b1, curso...",ayer
3572,...,...,vendedor tienda a tienda con moto,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","antioquia, medellín","importante empresa con presencia a nivel nacional, requiere para su equipo de trabajo una persona para el cargo de...",ayer
3573,...,...,asesor tienda a tienda con moto,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","risaralda, pereira","importante empresa con presencia a nivel nacional, requiere para su equipo de trabajo una persona para el cargo de...",ayer
3574,...,empleo destacado,operarios de inyección,staffing de colombia,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-staffing-de-colombia-42FF03AC67F788D1,"4,3","cundinamarca, mosquera","importante empresa del sector de producción y comercialización de productos de aseo (carros, motos, hogar) se...",ayer
3575,...,...,auxiliar de bodega,supertiendas y droguerias olimpica s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-supertiendas-y-droguerias-olimpica-sa-B6ECA2C303EF2361,"4,2","valle del cauca, cali",importante empresa del sector retail requiere para el centro de distribuciones auxiliares logísticos y de bodega que...,ayer
3576,...,...,auxiliar de bodega,ocupar temporales s.a.,https://co.computrabajo.com/ocupartemporales,"4,2","santander, bucaramanga","se requiere de personalvendedor y auxiliar de bodega para desempeñar funciones como: • gestión, control, manejo de...",ayer
3577,...,...,auxiliar de crédito y cobranza,tcc,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-tcc--1A114FDC9D8CC2EA,"4,4","antioquia, medellín","en el grupo logístico tcc nos encontramos en la búsqueda de un(a) auxiliar de crédito y cobranza, cuya responsabilidad...",ayer
3578,...,...,auxiliar contable,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","bogotá, d.c., bogotá, d.c.","importante empresa de alquiler, venta y mantenimiento de vehículos y equipo para trabajo en altura, requiere para su...",ayer
3579,...,...,técnico / tecnólogo hseq,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","bogotá, d.c., bogotá, d.c.","importante empresa del sector especializada en el alquiler y mantenimiento de vehículos para trabajo en altura,...",ayer
3580,...,...,auxiliar de almacén,jobandtalent co s a s,https://co.computrabajo.com/jobandtalent,"4,1","valle del cauca, cali",en jobandtalent empleamos a más de 25.000 profesionales en toda colombia y ofrecemos oportunidades de empleo de forma...,ayer
